Country Name,Country Code,Year,Literacy Rate,Unemployment Rate,GDP per Capita,Infant Mortality Rate,Health Expenditure,Poverty Rate,Region,IncomeGroup
Burundi,BDI,1990,37.0,6.337,598.164184467477,92.6,554.7110165040115,1.8,Sub-Saharan Africa,Low income
China,CHN,1990,78.0,6.337,990.776190880307,43.3,554.7110165040115,83.0,East Asia & Pacific,Upper middle income
Cabo Verde,CPV,1990,63.0,6.337,1044.45752446208,42.1,554.7110165040115,1.8,Sub-Saharan Africa,Upper middle income
Ecuador,ECU,1990,88.0,6.337,4631.5532583624,42.6,554.7110165040115,1.8,Latin America & Caribbean,Upper middle income
Guam,GUM,1990,99.0,6.337,8849.52577762818,19.7,554.7110165040115,1.8,East Asia & Pacific,High income
Hungary,HUN,1990,99.0999984741211,6.337,9163.03130754889,15.2,554.7110165040115,1.8,Europe & Central Asia,High income
Indonesia,IDN,1990,82.0,6.337,3043.94197509412,64.3,554.7110165040115,78.6,East Asia & Pacific,Upper middle income
Maldives,MDV,1990,96.0,6.337,4527.59399528568,71.8,554.7110165040115,1.8,South Asia,Upper middle income
Mexico,MEX,1990,88.0,6.337,8578.16113061639,37.8,554.7110165040115,1.8,Latin America & Caribbean,Upper middle income
Mauritius,MUS,1990,80.0,6.337,5008.06946847702,19.9,554.7110165040115,1.8,Sub-Saharan Africa,Upper middle income
Panama,PAN,1990,89.0,6.337,5136.52606418368,23.9,554.7110165040115,1.8,Latin America & Caribbean,High income
Philippines,PHL,1990,94.0,6.337,2607.96574501631,38.6,554.7110165040115,1.8,East Asia & Pacific,Lower middle income
Puerto Rico (US),PRI,1990,90.0,6.337,13409.9369281487,19.7,554.7110165040115,1.8,Latin America & Caribbean,High income
Singapore,SGP,1990,89.0,6.337,23815.1597264713,6.1,554.7110165040115,1.8,East Asia & Pacific,High income
Turkiye,TUR,1990,79.0,6.337,8205.26139435812,60.8,554.7110165040115,1.8,Europe & Central Asia,Upper middle income
"Venezuela, RB",VEN,1990,90.0,6.337,9497.25449933499,24.3,554.7110165040115,1.8,Latin America & Caribbean,
Zambia,ZMB,1990,65.0,6.337,1521.62416937243,101.6,554.7110165040115,1.8,Sub-Saharan Africa,Lower middle income
Argentina,ARG,1991,96.0,5.44,7960.97844018808,24.5,554.7110165040115,1.3,Latin America & Caribbean,Upper middle income
Burkina Faso,BFA,1991,14.0,2.477,623.26800170847,102.5,554.7110165040115,1.8,Sub-Saharan Africa,Low income
Bangladesh,BGD,1991,35.0,2.2,987.313199448192,92.5,554.7110165040115,51.2,South Asia,Lower middle income
Bahrain,BHR,1991,84.0,1.051,31657.3640438852,19.7,554.7110165040115,1.8,"Middle East, North Africa, Afghanistan & Pakistan",High income
Bosnia and Herzegovina,BIH,1991,89.0,17.55,974.925223501359,14.9,554.7110165040115,1.8,Europe & Central Asia,Upper middle income
Belize,BLZ,1991,70.0,9.69,5060.51070590814,29.1,554.7110165040115,1.8,Latin America & Caribbean,Upper middle income
Brunei Darussalam,BRN,1991,88.0,4.7,72609.8062334477,10.2,554.7110165040115,1.8,East Asia & Pacific,High income
Botswana,BWA,1991,69.0,13.82,6462.67264746043,39.3,554.7110165040115,1.8,Sub-Saharan Africa,Upper middle income
Spain,ESP,1991,96.0,15.929,14451.5917800344,7.1,554.7110165040115,1.8,Europe & Central Asia,High income
Greece,GRC,1991,93.0,7.572,13814.7409285791,8.7,554.7110165040115,1.8,Europe & Central Asia,High income
Croatia,HRV,1991,97.0,11.14,7911.91413186732,11.2,554.7110165040115,1.8,Europe & Central Asia,High income
India,IND,1991,48.0,7.722,1239.05800550017,82.4,554.7110165040115,1.8,South Asia,Lower middle income
"Iran, Islamic Rep.",IRN,1991,66.0,11.1,8229.25220593136,46.4,554.7110165040115,1.8,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
Montenegro,MNE,1991,93.0,30.228,8849.52577762818,14.2,554.7110165040115,1.8,Europe & Central Asia,Upper middle income
Malaysia,MYS,1991,83.0,3.702,7582.56943094941,12.1,554.7110165040115,1.8,East Asia & Pacific,Upper middle income
Namibia,NAM,1991,76.0,19.14,4191.70793418645,54.7,554.7110165040115,1.8,Sub-Saharan Africa,Lower middle income
Nigeria,NGA,1991,55.0,3.851,2037.76751010546,105.7,554.7110165040115,1.8,Sub-Saharan Africa,Lower middle income
Nepal,NPL,1991,33.0,10.484,888.91482121127,96.6,554.7110165040115,1.8,South Asia,Lower middle income
Portugal,PRT,1991,88.0,3.919,12730.9451672143,10.6,554.7110165040115,1.8,Europe & Central Asia,High income
Rwanda,RWA,1991,58.0,12.31,541.965769220086,91.6,554.7110165040115,1.8,Sub-Saharan Africa,Low income
Sao Tome and Principe,STP,1991,73.0,14.513,1539.92825538325,65.6,554.7110165040115,1.8,Sub-Saharan Africa,Lower middle income
Slovenia,SVN,1991,100.0,7.08,12689.3908795719,8.2,554.7110165040115,1.8,Europe & Central Asia,High income
Uganda,UGA,1991,56.0,3.464,703.177573275327,105.1,554.7110165040115,1.8,Sub-Saharan Africa,Low income
Samoa,WSM,1991,98.0,2.1,2165.67611273944,22.1,554.7110165040115,1.8,East Asia & Pacific,Upper middle income
Benin,BEN,1992,27.0,1.51,1265.25241875078,94.0,554.7110165040115,1.8,Sub-Saharan Africa,Lower middle income
Bolivia,BOL,1992,80.0,3.031,2479.71028831935,84.0,554.7110165040115,13.8,Latin America & Caribbean,Lower middle income
Chile,CHL,1992,94.0,4.35,5563.31353647799,13.6,554.7110165040115,11.1,Latin America & Caribbean,High income
Cyprus,CYP,1992,94.0,2.09,14749.72265625,9.4,554.7110165040115,1.8,Europe & Central Asia,High income
Paraguay,PRY,1992,90.0,4.98,5951.80079852482,35.2,554.7110165040115,1.8,Latin America & Caribbean,Upper middle income
Romania,ROU,1992,97.0,8.26,4512.02880507776,22.6,554.7110165040115,0.0,Europe & Central Asia,High income
El Salvador,SLV,1992,74.0,7.88,3171.42533531421,42.4,554.7110165040115,1.8,Latin America & Caribbean,Upper middle income
Zimbabwe,ZWE,1992,84.0,4.938,1734.16460208891,53.5,554.7110165040115,1.8,Sub-Saharan Africa,Lower middle income
Colombia,COL,1993,91.0,7.8,5826.18344421336,27.0,554.7110165040115,1.8,Latin America & Caribbean,Upper middle income
Gabon,GAB,1993,72.0,17.78,12756.9147783179,56.9,554.7110165040115,1.8,Sub-Saharan Africa,Upper middle income
Peru,PER,1993,87.0,4.803,3666.23318870324,51.1,554.7110165040115,1.8,Latin America & Caribbean,Upper middle income
Chad,TCD,1993,11.0,0.7,928.982879271592,111.9,554.7110165040115,1.8,Sub-Saharan Africa,Low income
Ethiopia,ETH,1994,27.0,3.1,390.823946509236,113.8,554.7110165040115,1.8,Sub-Saharan Africa,
Guatemala,GTM,1994,64.0,2.581,3886.33368451408,51.3,554.7110165040115,1.8,Latin America & Caribbean,Upper middle income
Libya,LBY,1994,76.5,19.349,19318.2067774416,26.2,554.7110165040115,1.8,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
Morocco,MAR,1994,42.0,13.869,3314.78149414063,56.4,554.7110165040115,1.8,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
North Macedonia,MKD,1994,94.0,30.0,4878.53189276325,25.5,554.7110165040115,1.8,Europe & Central Asia,Upper middle income
Philippines,PHL,1994,94.0,3.765,2799.77988249047,31.9,554.7110165040115,38.8,East Asia & Pacific,Lower middle income
Seychelles,SYC,1994,88.0,6.337,10691.7724799326,12.1,554.7110165040115,1.8,Sub-Saharan Africa,High income
